day,os_name,country,events,campaign_id,creative_id_network,creative_network,account_id,ad_id,ad_name,spend,installs,revenue,impressions_adjust,clicks_adjust,impressions,clicks,视频播放进度25%次数,视频播放进度50%次数,视频平均播放时长,match_prio
2026-02-10,android,US,0,"=""120238607155630510""","=""120239422701220510""",PIC五图03-英语,"=""1379725066317604""","=""120239422701220510""",PIC五图03-英语,7.1,0,0.0,790,9,790.0,9.0,0.0,0.0,1.0,1
2026-02-10,android,US,0,"=""120238607155630510""","=""120239422701190510""",PIC五图05-英语,"=""1379725066317604""","=""120239422701190510""",PIC五图05-英语,0.84,0,0.0,310,0,310.0,0.0,0.0,0.0,1.0,1
2026-02-10,android,US,0,"=""120238607155630510""","=""120239423540220510""",PIC五图06-英语,"=""1379725066317604""","=""120239423540220510""",PIC五图06-英语,20.45,0,0.0,2986,23,2986.0,23.0,3.0,2.0,3.0,1
2026-02-10,android,US,0,"=""120238648236360510""","=""120239358530980510""",VID16-阵容组合-Abbey-英语,"=""1379725066317604""","=""120239358530980510""",VID16-阵容组合-Abbey-英语,11.1,0,0.0,402,12,402.0,12.0,70.0,43.0,4.0,1
2026-02-10,android,US,0,"=""120238648236360510""","=""120239358530950510""",VID19-角色展示轮播2-Vincent-英语,"=""1379725066317604""","=""120239358530950510""",VID19-角色展示轮播2-Vincent-英语,100.02,0,0.0,4601,96,4601.0,96.0,788.0,515.0,3.0,1
2026-02-10,android,US,0,"=""120238648236360510""","=""120239358530960510""",VID22-选择+闯关-Vincent-英语,"=""1379725066317604""","=""120239358530960510""",VID22-选择+闯关-Vincent-英语,57.86,0,0.0,2560,64,2560.0,64.0,536.0,492.0,10.0,1
2026-02-10,android,US,0,"=""120238648236360510""","=""120239504948630510""",VID26-魔族失败胜利-Vincent-英语,"=""1379725066317604""","=""120239504948630510""",VID26-魔族失败胜利-Vincent-英语,38.8,0,0.0,2145,29,2145.0,29.0,119.0,78.0,3.0,1
2026-02-10,android,US,0,"=""6970072321780""","=""6970072322380""",PIC21-合成火法师-Vincent-英语,"=""2394784647636894""","=""6970072322380""",PIC21-合成火法师-Vincent-英语,138.78,0,0.0,12076,263,12076.0,263.0,1.0,1.0,8.0,1
2026-02-10,android,US,0,"=""6970072321780""","=""6970072322180""",PIC23-合成犀牛-Vincent-英语,"=""2394784647636894""","=""6970072322180""",PIC23-合成犀牛-Vincent-英语,26.64,0,0.0,2498,36,2498.0,36.0,0.0,0.0,0.0,1
2026-02-10,android,US,0,"=""6970072321780""","=""6970323092180""",PIC34-神族阵容-Vincent-英语,"=""2394784647636894""","=""6970323092180""",PIC34-神族阵容-Vincent-英语,53.6,0,0.0,3500,88,3500.0,88.0,0.0,0.0,0.0,1
2026-02-10,android,US,0,"=""6970072321780""","=""6970160770180""",PIC五图01-英语,"=""2394784647636894""","=""6970160770180""",PIC五图01-英语,35.71,0,0.0,3231,64,3231.0,64.0,0.0,0.0,1.0,1
