day,os_name,country,events,campaign_id,creative_id_network,creative_network,ad_id,ad_name,spend,installs,revenue,impressions_adjust,clicks_adjust,impressions,clicks,视频播放进度25%次数,视频播放进度50%次数,视频平均播放时长
2026/2/3,android,ID,0,120238770649640510,120239279840150510,PIC06-立绘卡牌展示-Vincent-英语,120239279840150510,PIC06-立绘卡牌展示-Vincent-英语,15.22,17,0,0,0,13845,387,0,0,0
2026/2/9,android,BR,0,120239366594720510,120239366594730510,PIC17-4级巫妖-Vincent-英语,120239366594730510,PIC17-4级巫妖-Vincent-英语,10.36,17,0,0,0,7100,149,1,0,3
2026/2/9,android,BR,0,120239366594720510,120239366594820510,PIC18-合成加特林-Vincent-英语,120239366594820510,PIC18-合成加特林-Vincent-英语,6.69,17,0,0,0,3774,100,0,0,3
2026/2/9,android,,0,,unknown,unknown,,,0,17,0,0,0,0,0,0,0,0
2026/2/10,android,KR,0,120241467475180572,120241468014200572,VID18-角色展示轮播-Vincent-韩语,,,0,17,0,0,0,0,0,0,0,0
2026/2/10,android,US,0,120238607155630510,120239528904130510,PIC21-合成火法师-Vincent-英语,120239528904130510,PIC21-合成火法师-Vincent-英语,84.23,17,0,0,0,10183,146,0,0,0
2026/2/9,android,BR,0,120239366594720510,120239366795310510,PIC05-合成祭司-Vincent-英语,120239366795310510,PIC05-合成祭司-Vincent-英语,7.22,16,0,0,0,5601,102,3,2,2
2026/2/9,android,US,0,120238607155630510,120239528904130510,PIC21-合成火法师-Vincent-英语,120239528904130510,PIC21-合成火法师-Vincent-英语,166.9,16,0,0,0,15980,176,0,0,2
2026/2/10,android,KR,0,6931591409752,6939192111552,PIC18-合成加特林-Vincent-韩语,,,0,16,0,0,0,0,0,0,0,0
2026/2/10,android,KR,0,6931591409752,6939191252952,PIC16-4级蛇女-Vincent-韩语,,,0,16,0,0,0,0,0,0,0,0
2026/2/3,android,ID,0,120238770649640510,120239279840130510,PIC12-战斗PVP-Vincent-英语,120239279840130510,PIC12-战斗PVP-Vincent-英语,11.29,15,0,0,0,12432,286,2,1,2
2026/2/3,android,ID,0,120238770649640510,120239024373250510,PIC21-合成火法师-Vincent-英语,120239024373250510,PIC21-合成火法师-Vincent-英语,11.41,15,0,0,0,16883,458,0,0,0
2026/2/9,android,KR,0,6931593682152,6939193162952,VID18-角色展示轮播-Vincent-韩语,,,0,15,0,0,0,0,0,0,0,0
2026/2/9,android,TW,0,6939217868352,6939220724952,VID10-选择英雄+战斗-Vincent,,,0,15,0,0,0,0,0,0,0,0
2026/2/9,android,US,0,120238607155630510,120239422701200510,PIC五图01-英语,120239422701200510,PIC五图01-英语,206.93,15,0,0,0,17901,360,2,1,2
2026/2/10,android,KR,0,6931593682152,6941085524752,VID11-合成角色展示-Vincent-韩语,,,0,15,0,0,0,0,0,0,0,0
2026/2/10,android,TW,0,6939217868352,6939743275552,VID22-选择+闯关-Vincent-繁中,,,0,15,0,0,0,0,0,0,0,0
2026/2/10,android,US,0,6970072321780,6970323092180,PIC34-神族阵容-Vincent-英语,,,0,15,0,0,0,0,0,0,0,0
2026/2/11,android,BR,0,120239366594720510,120239423107460510,PIC五图04-英语,,,0,15,0,0,0,0,0,0,0,0
2026/2/9,android,BR,0,120239366594720510,120239366594740510,PIC34-神族阵容-Vincent-英语,120239366594740510,PIC34-神族阵容-Vincent-英语,32.97,14,0,0,0,19730,480,0,0,1
2026/2/10,android,BR,0,120239366594720510,120239366594800510,PIC32-机械族阵容-Vincent-英语,120239366594800510,PIC32-机械族阵容-Vincent-英语,0.02,14,0,0,0,15,0,0,0,1
