day,os_name,country,events,campaign_id,creative_id_network,creative_network,ad_id,ad_name,spend,installs,revenue,impressions_adjust,clicks_adjust,impressions,clicks
2026-02-03,android,ID,0,"=""120238770649640510""","=""120239024373230510""",PIC34-神族阵容-Vincent-英语,"=""120239024373230510""",PIC34-神族阵容-Vincent-英语,15.1,21,0.0,0,0,18270.0,478.0
2026-02-09,android,BR,0,"=""120239366394730510""","=""120239531552720510""",VID24-DMG战斗2-Vincent-通用,"=""120239531552720510""",VID24-DMG战斗2-Vincent-通用,16.04,21,0.0,0,0,11176.0,98.0
2026-02-10,android,KR,0,"=""6931593682152""","=""6941085524752""",VID11-合成角色展示-Vincent-韩语,,,0.0,21,0.0,0,0,0.0,0.0
2026-02-10,android,BR,0,"=""120239366594720510""","=""120239366594810510""",PIC33-魔族阵容-Vincent-英语,"=""120239366594810510""",PIC33-魔族阵容-Vincent-英语,9.75,19,0.0,0,0,4548.0,141.0
2026-02-10,android,KR,0,"=""6931593682152""","=""6939193162952""",VID18-角色展示轮播-Vincent-韩语,,,0.0,19,0.0,0,0,0.0,0.0
2026-02-10,android,US,0,"=""120238607155630510""","=""120239422701200510""",PIC五图01-英语,"=""120239422701200510""",PIC五图01-英语,308.97,19,0.0,0,0,27411.0,548.0
2026-02-09,android,BR,0,"=""120239366394730510""","=""120239409035370510""",VID25-合成合成合成-Vincent-英语,"=""120239409035370510""",VID25-合成合成合成-Vincent-英语,57.49,18,0.0,0,0,34387.0,607.0
2026-02-10,android,KR,0,"=""6931591409752""","=""6939191252952""",PIC16-4级蛇女-Vincent-韩语,,,0.0,18,0.0,0,0,0.0,0.0
2026-02-10,android,KR,0,"=""6931591409752""","=""6941352859352""",PIC35-横版海报-Vincent-通用,,,0.0,18,0.0,0,0,0.0,0.0
2026-02-03,android,ID,0,"=""120238770649640510""","=""120239279840150510""",PIC06-立绘卡牌展示-Vincent-英语,"=""120239279840150510""",PIC06-立绘卡牌展示-Vincent-英语,15.22,17,0.0,0,0,13845.0,387.0
2026-02-09,android,BR,0,"=""120239366594720510""","=""120239366594730510""",PIC17-4级巫妖-Vincent-英语,"=""120239366594730510""",PIC17-4级巫妖-Vincent-英语,10.36,17,0.0,0,0,7100.0,149.0
2026-02-09,android,BR,0,"=""120239366594720510""","=""120239366594820510""",PIC18-合成加特林-Vincent-英语,"=""120239366594820510""",PIC18-合成加特林-Vincent-英语,6.69,17,0.0,0,0,3774.0,100.0
2026-02-09,android,,0,,"=""unknown""",unknown,,,0.0,17,0.0,0,0,0.0,0.0
2026-02-10,android,KR,0,"=""120241467475180572""","=""120241468014200572""",VID18-角色展示轮播-Vincent-韩语,,,0.0,17,0.0,0,0,0.0,0.0
2026-02-10,android,US,0,"=""120238607155630510""","=""120239528904130510""",PIC21-合成火法师-Vincent-英语,"=""120239528904130510""",PIC21-合成火法师-Vincent-英语,251.13,17,0.0,0,0,26163.0,322.0
2026-02-09,android,BR,0,"=""120239366594720510""","=""120239366795310510""",PIC05-合成祭司-Vincent-英语,"=""120239366795310510""",PIC05-合成祭司-Vincent-英语,7.22,16,0.0,0,0,5601.0,102.0
2026-02-09,android,US,0,"=""120238607155630510""","=""120239528904130510""",PIC21-合成火法师-Vincent-英语,"=""120239528904130510""",PIC21-合成火法师-Vincent-英语,251.13,16,0.0,0,0,26163.0,322.0
2026-02-10,android,KR,0,"=""6931591409752""","=""6939192111552""",PIC18-合成加特林-Vincent-韩语,,,0.0,16,0.0,0,0,0.0,0.0
2026-02-10,android,KR,0,"=""6931591409752""","=""6939191252952""",PIC16-4级蛇女-Vincent-韩语,,,0.0,16,0.0,0,0,0.0,0.0
2026-02-03,android,ID,0,"=""120238770649640510""","=""120239279840130510""",PIC12-战斗PVP-Vincent-英语,"=""120239279840130510""",PIC12-战斗PVP-Vincent-英语,11.29,15,0.0,0,0,12432.0,286.0
2026-02-03,android,ID,0,"=""120238770649640510""","=""120239024373250510""",PIC21-合成火法师-Vincent-英语,"=""120239024373250510""",PIC21-合成火法师-Vincent-英语,11.41,15,0.0,0,0,16883.0,458.0
2026-02-09,android,KR,0,"=""6931593682152""","=""6939193162952""",VID18-角色展示轮播-Vincent-韩语,,,0.0,15,0.0,0,0,0.0,0.0
2026-02-09,android,TW,0,"=""6939217868352""","=""6939220724952""",VID10-选择英雄+战斗-Vincent,,,0.0,15,0.0,0,0,0.0,0.0
2026-02-09,android,US,0,"=""120238607155630510""","=""120239422701200510""",PIC五图01-英语,"=""120239422701200510""",PIC五图01-英语,308.97,15,0.0,0,0,27411.0,548.0
2026-02-10,android,KR,0,"=""6931593682152""","=""6941085524752""",VID11-合成角色展示-Vincent-韩语,,,0.0,15,0.0,0,0,0.0,0.0
2026-02-10,android,TW,0,"=""6939217868352""","=""6939743275552""",VID22-选择+闯关-Vincent-繁中,,,0.0,15,0.0,0,0,0.0,0.0
2026-02-10,android,US,0,"=""6970072321780""","=""6970323092180""",PIC34-神族阵容-Vincent-英语,,,0.0,15,0.0,0,0,0.0,0.0
2026-02-11,android,BR,0,"=""120239366594720510""","=""120239423107460510""",PIC五图04-英语,"=""120239423107460510""",PIC五图04-英语,57.07,15,0.0,0,0,47128.0,1020.0
2026-02-09,android,BR,0,"=""120239366594720510""","=""120239366594740510""",PIC34-神族阵容-Vincent-英语,"=""120239366594740510""",PIC34-神族阵容-Vincent-英语,33.04,14,0.0,0,0,19762.0,481.0
2026-02-10,android,BR,0,"=""120239366594720510""","=""120239366594800510""",PIC32-机械族阵容-Vincent-英语,"=""120239366594800510""",PIC32-机械族阵容-Vincent-英语,13.27,14,0.0,0,0,5249.0,148.0
2026-02-10,android,US,0,"=""6970072321780""","=""6970160770180""",PIC五图01-英语,,,0.0,14,0.0,0,0,0.0,0.0
2026-02-09,android,BR,0,"=""120239366594720510""","=""120239366594880510""",PIC23-合成犀牛-Vincent-英语,"=""120239366594880510""",PIC23-合成犀牛-Vincent-英语,8.2,13,0.0,0,0,6543.0,84.0
2026-02-09,android,KR,0,"=""6931591409752""","=""6939191253152""",PIC17-4级巫妖-Vincent-韩语,,,0.0,13,0.0,0,0,0.0,0.0
2026-02-10,android,BR,0,"=""120239366394730510""","=""120239531552720510""",VID24-DMG战斗2-Vincent-通用,"=""120239531552720510""",VID24-DMG战斗2-Vincent-通用,16.04,13,0.0,0,0,11176.0,98.0
2026-02-10,android,KR,0,"=""6931591409752""","=""6939191253152""",PIC17-4级巫妖-Vincent-韩语,,,0.0,13,0.0,0,0,0.0,0.0
2026-02-10,android,KR,0,"=""6931591409752""","=""6931592749952""",PIC05-合成祭司-Vincent-韩语,,,0.0,13,0.0,0,0,0.0,0.0
2026-02-10,android,US,0,"=""120238607155630510""","=""120239422701200510""",PIC五图01-英语,"=""120239422701200510""",PIC五图01-英语,308.97,13,0.0,0,0,27411.0,548.0
2026-02-10,android,US,0,"=""120238648236360510""","=""120239358530950510""",VID19-角色展示轮播2-Vincent-英语,"=""120239358530950510""",VID19-角色展示轮播2-Vincent-英语,100.02,13,0.0,0,0,4601.0,96.0
2026-02-10,android,US,0,"=""6970072321780""","=""6970282527980""",VID22-选择+闯关-Vincent-英语,,,0.0,13,0.0,0,0,0.0,0.0
2026-02-09,android,,0,,"=""unknown""",unknown,,,0.0,12,0.0,0,0,0.0,0.0
2026-02-09,android,KR,0,"=""6931593682152""","=""6939193504352""",VID11-合成角色展示-Vincent-韩语,,,0.0,12,0.0,0,0,0.0,0.0
2026-02-09,android,US,0,"=""6970072321780""","=""6970072322380""",PIC21-合成火法师-Vincent-英语,,,0.0,12,0.0,0,0,0.0,0.0
2026-02-09,android,US,0,"=""120238648236360510""","=""120238648236390510""",VID11-合成角色展示-Vincent-通用,"=""120238648236390510""",VID11-合成角色展示-Vincent-通用,176.09,12,0.0,0,0,8952.0,184.0
2026-02-10,android,TW,0,"=""6939195938352""","=""6939210114752""",PIC21-合成火法师-Vincent-繁中,,,0.0,12,0.0,0,0,0.0,0.0
2026-02-10,android,US,0,"=""6970072321780""","=""6970160770580""",VID11-合成角色展示-Vincent-通用,,,0.0,12,0.0,0,0,0.0,0.0
2026-02-09,android,BR,0,"=""120239366594720510""","=""120239366594800510""",PIC32-机械族阵容-Vincent-英语,"=""120239366594800510""",PIC32-机械族阵容-Vincent-英语,13.27,11,0.0,0,0,5249.0,148.0
2026-02-09,android,BR,0,"=""120239366394730510""","=""120239409035370510""",VID25-合成合成合成-Vincent-英语,"=""120239409035370510""",VID25-合成合成合成-Vincent-英语,57.49,11,0.0,0,0,34387.0,607.0
2026-02-09,android,US,0,"=""120238648236360510""","=""120239358530960510""",VID22-选择+闯关-Vincent-英语,"=""120239358530960510""",VID22-选择+闯关-Vincent-英语,461.53,11,0.0,0,0,17317.0,431.0
2026-02-09,android,US,0,"=""120238607155630510""","=""120239422701200510""",PIC五图01-英语,"=""120239422701200510""",PIC五图01-英语,308.97,11,0.0,0,0,27411.0,548.0
2026-02-10,android,KR,0,"=""6931591409752""","=""6931593311552""",PIC08-升级进化-Vincent-韩语,,,0.0,11,0.0,0,0,0.0,0.0
2026-02-10,android,TW,0,"=""6939195938352""","=""6939856067152""",PIC五图01-繁中,,,0.0,11,0.0,0,0,0.0,0.0
2026-02-10,android,US,0,"=""120238607155630510""","=""120239357471640510""",PIC19-合成修理师-Vincent-英语,"=""120239357471640510""",PIC19-合成修理师-Vincent-英语,256.14,11,0.0,0,0,26209.0,364.0
2026-02-09,android,BR,0,"=""120239366594720510""","=""120239366795320510""",PIC08-升级进化-Vincent-英语,"=""120239366795320510""",PIC08-升级进化-Vincent-英语,8.54,10,0.0,0,0,7123.0,99.0
2026-02-09,android,BR,0,"=""120239366594720510""","=""120239366594810510""",PIC33-魔族阵容-Vincent-英语,"=""120239366594810510""",PIC33-魔族阵容-Vincent-英语,9.75,10,0.0,0,0,4548.0,141.0
2026-02-09,android,KR,0,"=""6931591409752""","=""6939192111752""",PIC19-合成修理师-Vincent-韩语,,,0.0,10,0.0,0,0,0.0,0.0
2026-02-09,android,TW,0,"=""6939217868352""","=""6939743275552""",VID22-选择+闯关-Vincent-繁中,,,0.0,10,0.0,0,0,0.0,0.0
2026-02-10,android,BR,0,"=""120239366594720510""","=""120239531590770510""",PIC34-神族阵容-Vincent-英语,"=""120239531590770510""",PIC34-神族阵容-Vincent-英语,28.81,10,0.0,0,0,18634.0,330.0
2026-02-10,android,KR,0,"=""6931593682152""","=""6939193504352""",VID11-合成角色展示-Vincent-韩语,,,0.0,10,0.0,0,0,0.0,0.0
2026-02-10,android,TW,0,"=""6939195938352""","=""6939210114752""",PIC21-合成火法师-Vincent-繁中,,,0.0,10,0.0,0,0,0.0,0.0
2026-02-09,android,BR,0,"=""120239366394730510""","=""120239531552730510""",VID06-LUDUS战斗-Vincent,"=""120239531552730510""",VID06-LUDUS战斗-Vincent,12.76,9,0.0,0,0,5566.0,86.0
2026-02-09,android,KR,0,"=""6931591409752""","=""6939191252952""",PIC16-4级蛇女-Vincent-韩语,,,0.0,9,0.0,0,0,0.0,0.0
2026-02-09,android,TW,0,"=""6939195938352""","=""6939210114352""",PIC19-合成修理师-Vincent-繁中,,,0.0,9,0.0,0,0,0.0,0.0
