date,account_id,ad_id,ad_name,spend,impressions,clicks,视频播放进度25%次数,视频播放进度50%次数,视频平均播放时长
2026-02-09,1379725066317604,120239357533150510,PIC33-魔族阵容-Vincent-英语,2.87,937,4,0.0,0.0,0.0
2026-02-09,1379725066317604,120239357533160510,PIC34-神族阵容-Vincent-英语,15.66,2446,29,0.0,0.0,0.0
2026-02-09,1379725066317604,120239358487270510,VID12-英雄展示1-Abbey-通用,30.39,2174,26,199.0,147.0,5.0
2026-02-09,1379725066317604,120239358520010510,VID20-角色升级-Vincent-英语,0.91,70,0,5.0,4.0,3.0
2026-02-09,1379725066317604,120239358530960510,VID22-选择+闯关-Vincent-英语,403.67,14757,367,2521.0,2189.0,6.0
2026-02-09,1379725066317604,120239358530980510,VID16-阵容组合-Abbey-英语,26.81,947,21,188.0,113.0,3.0
2026-02-09,1379725066317604,120239366394760510,VID16-阵容组合-Abbey-英语,2.94,1235,19,129.0,63.0,2.0
2026-02-09,1379725066317604,120239366394770510,VID12-英雄展示1-Abbey-通用,0.8,279,3,30.0,19.0,2.0
2026-02-09,1379725066317604,120239366394780510,VID22-选择+闯关-Vincent-英语,6.79,2155,31,189.0,134.0,3.0
2026-02-09,1379725066317604,120239366394790510,VID20-角色升级-Vincent-英语,0.48,297,3,25.0,15.0,2.0
2026-02-09,1379725066317604,120239366394800510,VID15-卡牌滚动-Abbey-英语,7.3,3988,41,323.0,173.0,2.0
2026-02-09,1379725066317604,120239366394830510,VID23-英雄升级战斗-Vincent-英语,0.27,73,0,3.0,1.0,2.0
2026-02-09,1379725066317604,120239366594730510,PIC17-4级巫妖-Vincent-英语,10.36,7100,149,1.0,0.0,3.0
2026-02-09,1379725066317604,120239366594740510,PIC34-神族阵容-Vincent-英语,32.97,19730,480,0.0,0.0,1.0
2026-02-09,1379725066317604,120239366594760510,PIC30-世界观2-Vincent-英语,6.01,2491,72,9.0,4.0,1.0
2026-02-09,1379725066317604,120239366594790510,PIC29-世界观-Vincent-英语,3.97,1969,52,0.0,0.0,1.0
2026-02-09,1379725066317604,120239366594800510,PIC32-机械族阵容-Vincent-英语,13.25,5234,148,14.0,10.0,2.0
