day,os_name,country,events,campaign_id,creative_id_network,creative_network,account_id,ad_id,ad_name,spend,installs,revenue,impressions_adjust,clicks_adjust,impressions,clicks,视频播放进度25%次数,视频播放进度50%次数,视频平均播放时长,match_prio
2026/2/10,android,TW,0,6941413175152,6941413182552,PIC35-横版海报-Vincent-通用,1384270166683478,6941413182552,PIC35-横版海报-Vincent-通用,24.21,0,0,2822,71,2822,71,0,0,1,1
2026/2/10,android,TW,0,120240257805260572,120241501180420572,PIC18-合成加特林-Vincent-繁中,898128255870755,120241501180420572,PIC18-合成加特林-Vincent-繁中,32.07,0,0,3125,35,3125,35,1,0,1,1
2026/2/9,android,,0,,unknown,unknown,,,,0,17,0,0,0,0,0,0,0,0,1
2026/2/11,android,BR,0,120239366594720510,120239423107460510,PIC五图04-英语,,,,0,15,0,0,0,0,0,0,0,0,1
2026/2/10,android,BR,0,120239366394730510,120239531552720510,VID24-DMG战斗2-Vincent-通用,,,,0,13,0,0,0,0,0,0,0,0,1
2026/2/10,android,TW,0,120240257805260572,120240257912910572,PIC19-合成修理师-Vincent-繁中,898128255870755,120240257912910572,PIC19-合成修理师-Vincent-繁中,56.72,0,0,6068,86,6068,86,0,0,0,1
2026/2/10,android,TW,0,120240257805260572,120240257805270572,PIC30-世界观2-Vincent-繁中,898128255870755,120240257805270572,PIC30-世界观2-Vincent-繁中,19.09,0,0,2945,41,2945,41,13,9,2,1
2026/2/10,android,TW,0,120240257805260572,120241465869800572,PIC五图01-繁中,898128255870755,120241465869800572,PIC五图01-繁中,27.03,0,0,2670,57,2670,57,0,0,1,1
2026/2/10,android,TW,0,120240257805260572,120241501180390572,PIC五图01-繁中,898128255870755,120241501180390572,PIC五图01-繁中,17.76,0,0,2101,29,2101,29,0,0,0,1
2026/2/10,android,TW,0,120240257805260572,120241473277760572,PIC五图05-繁中,898128255870755,120241473277760572,PIC五图05-繁中,1.69,0,0,472,4,472,4,1,1,3,1
2026/2/10,android,TW,0,120240257805260572,120241465869840572,VID10-选择英雄+战斗-Vincent,898128255870755,120241465869840572,VID10-选择英雄+战斗-Vincent,46.18,0,0,5916,55,5916,55,593,473,4,1
2026/2/10,android,TW,0,6941413175152,6941413181152,PIC04-合成场景版-Vincent-繁中,1384270166683478,6941413181152,PIC04-合成场景版-Vincent-繁中,2.1,0,0,506,5,506,5,0,0,0,1
2026/2/10,android,TW,0,6941413175152,6941413180952,PIC06-立绘卡牌展示-Vincent-繁中,1384270166683478,6941413180952,PIC06-立绘卡牌展示-Vincent-繁中,13.71,0,0,1736,19,1736,19,0,0,1,1
2026/2/10,android,TW,0,6941413175152,6941413180552,PIC08-升级进化-Vincent-繁中,1384270166683478,6941413180552,PIC08-升级进化-Vincent-繁中,0.68,0,0,134,3,134,3,0,0,0,1
2026/2/10,android,TW,0,6941413175152,6941413180752,PIC11-战斗PVE-Vincent-繁中,1384270166683478,6941413180752,PIC11-战斗PVE-Vincent-繁中,10.24,0,0,809,15,809,15,0,0,0,1
2026/2/10,android,TW,0,6941413175152,6941413175752,PIC13-4级厨师长-Vincent-繁中,1384270166683478,6941413175752,PIC13-4级厨师长-Vincent-繁中,17.47,0,0,2305,35,2305,35,6,2,2,1
2026/2/10,android,TW,0,6941413175152,6941413176152,PIC14-4级佛耶哥-Vincent-繁中,1384270166683478,6941413176152,PIC14-4级佛耶哥-Vincent-繁中,5.88,0,0,966,4,966,4,0,0,0,1
2026/2/10,android,TW,0,6941413175152,6941413184352,PIC15-4级巨魔-Vincent-繁中,1384270166683478,6941413184352,PIC15-4级巨魔-Vincent-繁中,26.02,0,0,3611,36,3611,36,13,2,1,1
2026/2/10,android,TW,0,6941413175152,6941413175552,PIC16-4级蛇女-Vincent-繁中,1384270166683478,6941413175552,PIC16-4级蛇女-Vincent-繁中,6.24,0,0,848,11,848,11,0,0,1,1
2026/2/10,android,TW,0,6941413175152,6941413175952,PIC17-4级巫妖-Vincent-繁中,1384270166683478,6941413175952,PIC17-4级巫妖-Vincent-繁中,9.44,0,0,930,16,930,16,2,1,3,1
