日期,国家,统一名称,统一 ID,平台,设备,下载量,收入
2025-11-03,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,273,437.46
2025-11-03,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,2759,24545.15
2025-11-04,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,669,786.61
2025-11-04,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,0,11.32
2025-11-04,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,0,80.43
2025-11-04,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,22,52.48
2025-11-04,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,0,0.11
2025-11-04,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,0,0.8
2025-11-04,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,7191,4680.12
2025-11-04,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,0,13.77
2025-11-04,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,1,223.33
2025-11-05,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,508,893.0
2025-11-05,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,0,12.0
2025-11-05,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,0,85.26
2025-11-05,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,18,52.75
2025-11-05,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,0,0.0
2025-11-05,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,0,1.43
2025-11-05,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,4131,4968.54
2025-11-05,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,0,10.75
2025-11-05,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,0,236.73
2025-11-06,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,306,877.14
2025-11-06,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,0,12.36
2025-11-06,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,0,87.82
2025-11-06,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,10,51.72
2025-11-06,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,0,0.0
2025-11-06,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,0,1.09
2025-11-06,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,2273,5123.43
2025-11-06,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,0,11.07
2025-11-06,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,0,243.83
2025-11-07,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,375,986.6
2025-11-07,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,0,15.49
2025-11-07,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,0,108.95
2025-11-07,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,15,63.73
2025-11-07,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,0,0.0
2025-11-07,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,0,1.29
2025-11-07,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,2510,7368.51
2025-11-07,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,0,13.55
2025-11-07,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,0,304.92
2025-11-08,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,356,1479.28
2025-11-08,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,0,17.81
2025-11-08,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,0,125.29
2025-11-08,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,13,71.68
2025-11-08,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,0,0.0
2025-11-08,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,0,0.72
2025-11-08,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,2054,7766.01
2025-11-08,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,0,10.43
2025-11-08,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,0,234.79
2025-11-09,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,291,1715.39
2025-11-09,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,4,239.8
2025-11-09,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,456,7897.85
2025-11-09,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,10,63.84
2025-11-09,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,2,8.26
2025-11-09,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,26,99.65
2025-11-09,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,2116,7209.67
2025-11-09,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,122,420.62
2025-11-09,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,1386,10471.54
2025-11-10,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,295,1901.71
2025-11-10,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,7,395.13
2025-11-10,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,513,8345.64
2025-11-10,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,10,60.96
2025-11-10,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,2,7.13
2025-11-10,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,35,192.51
2025-11-10,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,1982,8496.45
2025-11-10,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,107,867.03
2025-11-10,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,2702,29885.17
2025-11-11,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,289,2201.89
2025-11-11,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,6,154.34
2025-11-11,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,618,10318.35
2025-11-11,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,12,67.8
2025-11-11,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,0,6.87
2025-11-11,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,49,273.0
2025-11-11,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,2030,14349.62
2025-11-11,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,141,1117.25
2025-11-11,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,1763,36015.41
2025-11-12,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,268,2693.02
2025-11-12,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,9,179.21
2025-11-12,HK,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,892,7515.12
2025-11-12,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,11,66.2
2025-11-12,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,1,6.49
2025-11-12,MO,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,47,321.67
2025-11-12,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,Android,Android,1590,9224.98
2025-11-12,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPad,192,1271.23
2025-11-12,TW,蔚藍星球: 國王很忙,68d0ed4f23721398b4b9582f,iOS,iPhone,3350,39510.12
